date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:22	100154/100154	---M-Z	200	added ('OK')	text/html	etag:W/%225bc72762-1873a%22	https://transvelo.github.io/pizzaro-html/index.html	C:/Users/windg/Desktop/theme-html/pizza/transvelo.github.io/pizzaro-html/index.html	(from )
21:22:23	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-239b%22	https://transvelo.github.io/robots.txt		(from )
21:22:23	121200/121200	---M-Z	200	added ('OK')	text/css	etag:W/%225bc72762-1d970%22	https://transvelo.github.io/pizzaro-html/assets/css/bootstrap.min.css	C:/Users/windg/Desktop/theme-html/pizza/transvelo.github.io/pizzaro-html/assets/css/bootstrap.min.css	(from https://transvelo.github.io/pizzaro-html/index.html)
21:22:23	28758/28758	---M-Z	200	added ('OK')	text/css	etag:W/%225bc72762-7056%22	https://transvelo.github.io/pizzaro-html/assets/css/font-awesome.min.css	C:/Users/windg/Desktop/theme-html/pizza/transvelo.github.io/pizzaro-html/assets/css/font-awesome.min.css	(from https://transvelo.github.io/pizzaro-html/index.html)
21:22:23	52609/52609	---M-Z	200	added ('OK')	text/css	etag:W/%225bc72762-cd81%22	https://transvelo.github.io/pizzaro-html/assets/css/animate.min.css	C:/Users/windg/Desktop/theme-html/pizza/transvelo.github.io/pizzaro-html/assets/css/animate.min.css	(from https://transvelo.github.io/pizzaro-html/index.html)
21:22:24	2889/2889	---M-Z	200	added ('OK')	text/css	etag:W/%225bc72762-b49%22	https://transvelo.github.io/pizzaro-html/assets/css/font-pizzaro.css	C:/Users/windg/Desktop/theme-html/pizza/transvelo.github.io/pizzaro-html/assets/css/font-pizzaro.css	(from https://transvelo.github.io/pizzaro-html/index.html)
21:22:24	692047/692047	---M-Z	200	added ('OK')	text/css	etag:W/%225bc72762-a8f4f%22	https://transvelo.github.io/pizzaro-html/assets/css/style.css	C:/Users/windg/Desktop/theme-html/pizza/transvelo.github.io/pizzaro-html/assets/css/style.css	(from https://transvelo.github.io/pizzaro-html/index.html)
21:22:24	6849/6849	---M-Z	200	added ('OK')	text/css	etag:W/%225bc72762-1ac1%22	https://transvelo.github.io/pizzaro-html/assets/css/colors/red.css	C:/Users/windg/Desktop/theme-html/pizza/transvelo.github.io/pizzaro-html/assets/css/colors/red.css	(from https://transvelo.github.io/pizzaro-html/index.html)
21:22:24	42839/42839	---M-Z	200	added ('OK')	text/css	etag:W/%225bc72762-a757%22	https://transvelo.github.io/pizzaro-html/assets/css/jquery.mCustomScrollbar.min.css	C:/Users/windg/Desktop/theme-html/pizza/transvelo.github.io/pizzaro-html/assets/css/jquery.mCustomScrollbar.min.css	(from https://transvelo.github.io/pizzaro-html/index.html)
21:22:24	2762/2762	---M-Z	200	added ('OK')	text/css	etag:W/%225bc72762-aca%22	https://transvelo.github.io/pizzaro-html/assets/css/config.css	C:/Users/windg/Desktop/theme-html/pizza/transvelo.github.io/pizzaro-html/assets/css/config.css	(from https://transvelo.github.io/pizzaro-html/index.html)
21:22:24	6851/6851	---M-Z	200	added ('OK')	text/css	etag:W/%225bc72762-1ac3%22	https://transvelo.github.io/pizzaro-html/assets/css/colors/green.css	C:/Users/windg/Desktop/theme-html/pizza/transvelo.github.io/pizzaro-html/assets/css/colors/green.css	(from https://transvelo.github.io/pizzaro-html/index.html)
21:22:25	6856/6856	---M-Z	200	added ('OK')	text/css	etag:W/%225bc72762-1ac8%22	https://transvelo.github.io/pizzaro-html/assets/css/colors/pink.css	C:/Users/windg/Desktop/theme-html/pizza/transvelo.github.io/pizzaro-html/assets/css/colors/pink.css	(from https://transvelo.github.io/pizzaro-html/index.html)
